"","x"
"1","Adelomyia.melanogenys"
"2","Aglaeactis.cupripennis"
"3","Aglaiocercus.coelestis"
"4","Aglaiocercus.kingi"
"5","Amazilia.amabilis"
"6","Amazilia.amazilia"
"7","Amazilia.cyanifrons"
"8","Amazilia.fimbriata"
"9","Amazilia.franciae"
"10","Amazilia.rosenbergi"
"11","Amazilia.saucerrottei"
"12","Amazilia.tobaci"
"13","Amazilia.tzacatl"
"14","Amazilia.versicolor"
"15","Amazilia.viridigaster"
"16","Androdon.aequatorialis"
"17","Anthocephala.floriceps"
"18","Anthracothorax.nigricollis"
"19","Boissonneaua.flavescens"
"20","Boissonneaua.jardini"
"21","Calliphlox.mitchellii"
"22","Campylopterus.falcatus"
"23","Campylopterus.largipennis"
"24","Chaetocercus.astreans"
"25","Chaetocercus.bombus"
"26","Chaetocercus.heliodor"
"27","Chaetocercus.jourdanii"
"28","Chaetocercus.mulsant"
"29","Chalcostigma.herrani"
"30","Chalcostigma.heteropogon"
"31","Chalybura.buffonii"
"32","Chalybura.urochrysia"
"33","Chlorestes.notata"
"34","Chlorostilbon.alice"
"35","Chlorostilbon.gibsoni"
"36","Chlorostilbon.melanorhynchus"
"37","Chlorostilbon.mellisugus"
"38","Chlorostilbon.olivaresi"
"39","Chlorostilbon.russatus"
"40","Chrysolampis.mosquitus"
"41","Chrysuronia.oenone"
"42","Coeligena.coeligena"
"43","Coeligena.iris"
"44","Coeligena.lutetiae"
"45","Coeligena.phalerata"
"46","Coeligena.torquata"
"47","Coeligena.wilsoni"
"48","Colibri.coruscans"
"49","Colibri.delphinae"
"50","Colibri.thalassinus"
"51","Damophila.julie"
"52","Discosura.conversii"
"53","Doryfera.johannae"
"54","Doryfera.ludovicae"
"55","Ensifera.ensifera"
"56","Eriocnemis.cupreoventris"
"57","Eriocnemis.derbyi"
"58","Eriocnemis.luciani"
"59","Eriocnemis.mosquera"
"60","Eriocnemis.vestita"
"61","Eutoxeres.aquila"
"62","Eutoxeres.condamini"
"63","Florisuga.mellivora"
"64","Glaucis.aeneus"
"65","Glaucis.hirsutus"
"66","Haplophaedia.aureliae"
"67","Heliangelus.exortis"
"68","Heliodoxa.aurescens"
"69","Heliodoxa.imperatrix"
"70","Heliodoxa.jacula"
"71","Heliodoxa.leadbeateri"
"72","Heliodoxa.rubinoides"
"73","Heliodoxa.schreibersii"
"74","Heliomaster.longirostris"
"75","Heliothryx.auritus"
"76","Heliothryx.barroti"
"77","Hylocharis.cyanus"
"78","Hylocharis.grayi"
"79","Hylocharis.sapphirina"
"80","Klais.guimeti"
"81","Lafresnaya.lafresnayi"
"82","Lepidopyga.goudoti"
"83","Lesbia.nuna"
"84","Lesbia.victoriae"
"85","Leucippus.fallax"
"86","Lophornis.chalybeus"
"87","Lophornis.stictolophus"
"88","Metallura.iracunda"
"89","Metallura.tyrianthina"
"90","Metallura.williami"
"91","Ocreatus.underwoodii"
"92","Oxypogon.guerinii"
"93","Patagona.gigas"
"94","Phaethornis.anthophilus"
"95","Phaethornis.atrimentalis"
"96","Phaethornis.augusti"
"97","Phaethornis.baroni"
"98","Phaethornis.bourcieri"
"99","Phaethornis.griseogularis"
"100","Phaethornis.guy"
"101","Phaethornis.hispidus"
"102","Phaethornis.longirostris"
"103","Phaethornis.malaris"
"104","Phaethornis.ruber"
"105","Phaethornis.striigularis"
"106","Phaethornis.syrmatophorus"
"107","Phaethornis.yaruqui"
"108","Polytmus.guainumbi"
"109","Polytmus.theresiae"
"110","Pterophanes.cyanopterus"
"111","Ramphomicron.microrhynchum"
"112","Schistes.geoffroyi"
"113","Sternoclyta.cyanopectus"
"114","Thalurania.colombica"
"115","Thalurania.fannyi"
"116","Thalurania.furcata"
"117","Threnetes.leucurus"
"118","Threnetes.ruckeri"
"119","Topaza.pyra"
"120","Urochroa.bougueri"
"121","Urosticte.ruficrissa"
