"","Adelomyia melanogenys","Aglaeactis cupripennis","Aglaiocercus coelestis","Aglaiocercus kingi","Amazilia amabilis","Amazilia amazilia","Amazilia fimbriata","Amazilia franciae","Amazilia rosenbergi","Amazilia saucerrottei","Amazilia tzacatl","Amazilia versicolor","Amazilia viridigaster","Androdon aequatorialis","Anthocephala floriceps","Anthracothorax nigricollis","Boissonneaua flavescens","Boissonneaua matthewsii","Calliphlox mitchellii","Campylopterus falcatus","Campylopterus largipennis","Campylopterus villaviscensio","Chaetocercus bombus","Chaetocercus mulsant","Chalcostigma herrani","Chalcostigma ruficeps","Chalcostigma stanleyi","Chalybura buffonii","Chalybura urochrysia","Chlorestes notata","Chlorostilbon melanorhynchus","Chlorostilbon mellisugus","Chlorostilbon poortmani","Chrysolampis mosquitus","Chrysuronia oenone","Coeligena bonapartei","Coeligena coeligena","Coeligena helianthea","Coeligena iris","Coeligena lutetiae","Coeligena orina","Coeligena prunellei","Coeligena torquata","Coeligena wilsoni","Colibri coruscans","Colibri delphinae","Colibri thalassinus","Damophila julie","Discosura conversii","Discosura langsdorffi","Discosura popelairii","Doryfera johannae","Doryfera ludovicae","Ensifera ensifera","Eriocnemis alinae","Eriocnemis cupreoventris","Eriocnemis derbyi","Eriocnemis luciani","Eriocnemis mosquera","Eriocnemis nigrivestis","Eriocnemis vestita","Eutoxeres aquila","Eutoxeres condamini","Florisuga mellivora","Glaucis aeneus","Glaucis hirsutus","Haplophaedia aureliae","Haplophaedia lugens","Heliangelus amethysticollis","Heliangelus exortis","Heliangelus micraster","Heliangelus strophianus","Heliangelus viola","Heliodoxa aurescens","Heliodoxa gularis","Heliodoxa imperatrix","Heliodoxa jacula","Heliodoxa leadbeateri","Heliodoxa rubinoides","Heliodoxa schreibersii","Heliomaster longirostris","Heliothryx auritus","Heliothryx barroti","Hylocharis cyanus","Hylocharis grayi","Klais guimeti","Lafresnaya lafresnayi","Lepidopyga coeruleogularis","Lepidopyga goudoti","Lesbia nuna","Lesbia victoriae","Leucippus baeri","Leucippus chlorocercus","Lophornis chalybeus","Metallura baroni","Metallura odomae","Metallura tyrianthina","Metallura williami","Myrmia micrura","Myrtis fanny","Ocreatus underwoodii","Opisthoprora euryptera","Oreotrochilus chimborazo","Oxypogon guerinii","Patagona gigas","Phaethornis anthophilus","Phaethornis atrimentalis","Phaethornis augusti","Phaethornis bourcieri","Phaethornis griseogularis","Phaethornis guy","Phaethornis hispidus","Phaethornis longirostris","Phaethornis longuemareus","Phaethornis malaris","Phaethornis ruber","Phaethornis syrmatophorus","Phaethornis yaruqui","Phlogophilus hemileucurus","Polytmus guainumbi","Pterophanes cyanopterus","Ramphomicron microrhynchum","Schistes geoffroyi","Taphrospilus hypostictus","Thalurania colombica","Thalurania fannyi","Thalurania furcata","Thaumastura cora","Threnetes leucurus","Threnetes ruckeri","Urochroa bougueri","Urosticte benjamini","Urosticte ruficrissa"
"1600",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"2000",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3000",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abras de Mantequilla",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acacias",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Acanama",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achiral - Pozul",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Alder forest",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alro rio Hornoyaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Alto Combate",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
