"Species","Locality","Suitability","LongDecDeg","LatDecDeg","P_R","P_A","Hyp","Clade","Genus","Phylo.Relatedness"
"Adelomyia.melanogenys","10172",332,-76.6,3.6166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10172",332,-76.6,3.6166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10172",332,-76.6,3.6166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10201",16,-73.7,3.6166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790837167
"Adelomyia.melanogenys","10201",16,-73.7,3.6166666666667,"P_Apred",0,"Env_Dispersal","Coquettes","Adelomyia",0.730589790837167
"Adelomyia.melanogenys","10201",16,-73.7,3.6166666666667,"P_Apred",0,"Env","Coquettes","Adelomyia",0.730589790837167
"Adelomyia.melanogenys","10293",374,-76.7,3.5166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10293",374,-76.7,3.5166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10293",374,-76.7,3.5166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10294",350,-76.6,3.5166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.692466278782981
"Adelomyia.melanogenys","10294",350,-76.6,3.5166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.692466278782981
"Adelomyia.melanogenys","10294",350,-76.6,3.5166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.692466278782981
"Adelomyia.melanogenys","10298",184,-76.2,3.5166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10298",184,-76.2,3.5166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10298",184,-76.2,3.5166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","10538",189,-76.6,3.3166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790837167
"Adelomyia.melanogenys","10538",189,-76.6,3.3166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.730589790837167
"Adelomyia.melanogenys","10538",189,-76.6,3.3166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.730589790837167
"Adelomyia.melanogenys","11270",383,-76.6,2.7166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11270",383,-76.6,2.7166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11270",383,-76.6,2.7166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11294",16,-74.2,2.7166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.634979720961305
"Adelomyia.melanogenys","11294",16,-74.2,2.7166666666667,"P_Apred",0,"Env_Dispersal","Coquettes","Adelomyia",0.634979720961305
"Adelomyia.melanogenys","11294",16,-74.2,2.7166666666667,"P_Apred",0,"Env","Coquettes","Adelomyia",0.634979720961305
"Adelomyia.melanogenys","11389",466,-76.9,2.6166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11389",466,-76.9,2.6166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11389",466,-76.9,2.6166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11397",335,-76.1,2.6166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11397",335,-76.1,2.6166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11397",335,-76.1,2.6166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11515",452,-76.5,2.5166666666667,"P_Apred",1,"Env","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11515",452,-76.5,2.5166666666667,"P_Apred",1,"Env_Dispersal","Coquettes","Adelomyia",0.384015340715478
"Adelomyia.melanogenys","11515",452,-76.5,2.5166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478
