LONGDECDEG,LATDECDEG,Colibri.coruscans_AllData_Full logistic values
-69.6833,11.16667,4.2464948E-5
-70.51667,8.83333,0.485478
-78.0575,-0.434722,0.026149234
-68.98333,10.53333,1.7156883E-4
-76.95,1.833333,0.23360154
-72.05,7.4167,0.45543477
-69.26667,9.91667,0.3827129
-69.26667,9.88333,0.3827129
-69.26667,9.88333,0.3827129
-79.15,-4.1,0.5417628
-70.48333,8.86667,0.485478
-73.9333,4.4833,0.50853086
-76.333333,1.833333,0.3125225
-77.383333,-0.133333,0.0
-74.083333,4.483333,0.50853086
-72.3611233333333,7.55,0.45543477
-73.966667,4.55,0.50853086
-78.716667,-0.55,0.16709274
-77.645853,0.680287,0.5295956
-72.666667,5.416667,0.33874062
-69.66667,11.16667,4.2464948E-5
-75.433333,4.3,0.61384606
-77.166667,0.666667,0.056246925
-75.112032,6.98266,0.11534815
-79.07512,-2.72165,0.22245215
-76.744722,1.069722,6.43733E-5
-73.084194,7.344611,0.60848296
-73.096028,7.272611,0.60848296
-76.2,2.266667,0.44422582
-77.966667,0.866667,0.58873767
-69.70417,11.18,4.2464948E-5
-73.416667,4.583333,0.44364315
-78.421389,0.35,0.6742615
-72.933333,10.533333,0.4485286
-75.333333,5.083333,0.46635368
-75.883333,2.383333,0.17426
-78.216667,-2.066667,0.3125225
-79.4,-4.783333,0.2758826
-78.26667,0.116667,0.3860279
-76.276097,1.600061,0.6527135
-78.75,-4.36667,0.046894483
-72.283333,6.133333,0.06367616
-78.15,-2.1,0.3125225
-69.60417,9.6975,0.016744686
-74.166667,5.133333,0.49643633
-79.15,-4.65,0.2758826
-78.2,-0.333333,0.026149234
-78.908333,-3.283333,0.40146735
-78.366667,-0.666667,0.026149234
-72.81667,10.03333,0.0
-72.7833,10.0333,0.0
-72.59103,10.32648,0.24187653
-76.383333,2.35,0.44422582
-70.61667,10.31667,0.36687475
-73.916667,3.1,0.0
-78.884,-1.434,0.3860279
-77.983333,1.216667,0.16065726
-77.275833,0.515367,0.056246925
-74.066667,4.566667,0.50853086
-76.483333,2.333333,0.78103995
-76.170278,2.240278,0.44422582
-73.266667,4.85,0.28915793
-72.05,8.13333,0.635873
-73.95,4.916667,0.49643633
-73.166667,5.25,0.3061987
-79.09183,-2.94754,0.40146735
-69.2667,9.9333,0.3827129
-78.64964,-3.00277,0.3125225
-79.116667,-4.383333,0.2758826
-73.054278,7.142556,0.1250552
-76.519722,1.238333,0.101124935
-78.587981,-0.146287,0.60340154
-71.7667,8.3667,0.22063555
-71.7667,8.3667,0.22063555
-79.133333,-4.866667,0.56208587
