X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-69.6833,11.16667,train,Infinity,100.0,NaN
-70.51667,8.83333,train,0.0,0.0,0.0
-68.98333,10.53333,train,Infinity,100.0,NaN
-78.96675,-4.13329,train,0.0,0.0,0.0
-76.95,1.833333,train,0.0,0.0,0.0
-72.966667,8.016667,train,0.0,0.0,0.0
-72.05,7.4167,train,0.0,0.0,0.0
-69.26667,9.91667,train,Infinity,100.0,NaN
-69.26667,9.9,train,Infinity,100.0,NaN
-69.26667,9.88333,train,Infinity,100.0,NaN
-70.48333,8.86667,train,0.0,0.0,0.0
-73.9333,4.4833,train,0.0,0.0,0.0
-76.333333,1.833333,train,0.0,0.0,0.0
-77.383333,-0.133333,train,Infinity,100.0,NaN
-78.566667,-4.0,train,Infinity,100.0,NaN
-72.3611233333333,7.55,train,0.0,0.0,0.0
-72.666667,5.416667,train,0.0,0.0,0.0
-69.56667,9.775,train,Infinity,100.0,NaN
-71.733333,8.333333,train,0.0,0.0,0.0
-69.66667,11.16667,train,Infinity,100.0,NaN
-76.057,2.584,train,0.0,0.0,0.0
-77.166667,0.666667,train,Infinity,100.0,NaN
-75.112032,6.98266,train,0.0,0.0,0.0
-76.744722,1.069722,train,Infinity,100.0,NaN
-72.993028,10.361611,train,0.0,0.0,0.0
-73.084194,7.344611,train,0.0,0.0,0.0
-73.096028,7.272611,train,0.0,0.0,0.0
-76.2,2.266667,train,0.0,0.0,0.0
-69.70417,11.18,train,Infinity,100.0,NaN
-73.416667,4.583333,train,0.0,0.0,0.0
-72.933333,10.533333,train,0.0,0.0,0.0
-75.883333,2.383333,train,0.0,0.0,0.0
-78.216667,-2.066667,train,0.0,0.0,0.0
-73.2,5.2,train,0.0,0.0,0.0
-76.276097,1.600061,train,0.0,0.0,0.0
-78.75,-4.36667,train,Infinity,100.0,NaN
-72.283333,6.133333,train,0.0,0.0,0.0
-78.15,-2.1,train,0.0,0.0,0.0
-69.60417,9.6975,train,Infinity,100.0,NaN
-74.166667,5.133333,train,0.0,0.0,0.0
-79.15,-4.65,train,0.0,0.0,0.0
-72.2333,7.8667,train,0.0,0.0,0.0
-72.81667,10.03333,train,0.0,0.0,0.0
-72.7833,10.0333,train,0.0,0.0,0.0
-72.59103,10.32648,train,0.0,0.0,0.0
-76.5916665,2.475,train,0.0,0.0,0.0
-78.183333,-2.083333,train,0.0,0.0,0.0
-70.61667,10.31667,train,Infinity,100.0,NaN
-72.0,7.9167,train,0.0,0.0,0.0
-73.916667,3.1,train,0.0,0.0,0.0
-77.983333,1.216667,train,Infinity,100.0,NaN
-77.275833,0.515367,train,Infinity,100.0,NaN
-76.266667,1.883333,train,0.0,0.0,0.0
-78.179697,-1.522207,train,0.0,0.0,0.0
-71.625015,8.39165,train,0.0,0.0,0.0
-76.170278,2.240278,train,0.0,0.0,0.0
-73.266667,4.85,train,Infinity,100.0,NaN
-72.05,8.13333,train,0.0,0.0,0.0
-73.166667,5.25,train,0.0,0.0,0.0
-69.2667,9.9333,train,Infinity,100.0,NaN
-73.054278,7.142556,train,0.0,0.0,0.0
-76.519722,1.238333,train,Infinity,100.0,NaN
-71.7667,8.3667,train,0.0,0.0,0.0
-79.133333,-4.866667,train,0.0,0.0,0.0
