LONGDECDEG,LATDECDEG,Pterophanes.cyanopterus_AllData_RUN1 logistic values
-69.6833,11.16667,0.2140905
-70.51667,8.83333,0.3958707
-79.36314,-4.56371,0.38853472
-75.716667,6.116667,0.07757088
-74.466667,4.766667,0.020445598
-71.18333,8.26667,0.397132
-68.98333,10.53333,0.0655119
-75.383333,6.25,0.06226653
-71.83333,8.06667,0.119480945
-74.083333,4.6,0.64599967
-74.083333,4.6,0.64599967
-74.083333,4.6,0.64599967
-76.951217,1.8401,0.052540306
-78.96675,-4.13329,0.3872214
-75.6,6.283333,0.13302605
-76.528622,2.497128,0.32858574
-78.8523,-2.97591,0.51149887
-79.083334,-2.93,0.8566477
-72.3833,7.65,0.059529737
-76.95,1.833333,0.052540306
-72.966667,8.016667,0.3018984
-72.05,7.4167,0.059529737
-75.6,4.05,0.5797862
-69.26667,9.91667,0.014999079
-69.26667,9.9,0.014999079
-69.26667,9.88333,0.014999079
-69.26667,9.88333,0.014999079
-75.633333,6.083333,0.07757088
-70.43333,8.9,0.3958707
-70.4,8.9,0.011808894
-70.48333,8.86667,0.3958707
-73.9333,4.4833,0.64599967
-76.333333,1.833333,0.44534892
-79.083333,-0.666667,0.20001616
-77.533333,-0.05,0.43574566
-72.683333,6.333333,0.38293946
-79.80005,-3.94996,0.08625059
-70.116685,9.55,0.18853544
-75.26675,5.2664,0.52409047
-77.383333,-0.133333,0.015793854
-74.083333,4.6,0.64599967
-76.95,2.666667,0.045013662
-74.066667,4.866667,0.45843443
-72.3611233333333,7.55,0.059529737
-73.933333,4.533333,0.64599967
-74.083333,4.6,0.64599967
-76.466667,2.333333,0.32858574
-72.35,7.45,0.059529737
-77.8,-0.68333,0.07270206
-72.666667,5.416667,0.16440444
-78.86888,-2.68712,0.39820582
-69.56667,9.775,0.34729058
-71.0833,8.75,0.25168192
-71.06667,8.75,0.25168192
-77.783333,0.9,0.51577646
-69.66667,11.16667,0.2140905
-79.414308,-3.943806,0.08625059
-75.48,5.077,0.17578404
-76.057,2.584,0.4655313
-77.166667,0.666667,0.055124525
-75.112032,6.98266,0.026982712
-79.16564,-3.13063,0.8566477
-77.166667,1.166667,0.5601693
-73.55,10.616667,0.09504586
-76.744722,1.069722,0.011895273
-76.079033,6.41547,0.13517271
-76.666667,2.333333,0.32858574
-72.993028,10.361611,0.015204253
-73.883333,4.55,0.22839883
-73.084194,7.344611,0.120727725
-76.603297,3.563297,0.0766094
-73.85,4.533333,0.22839883
-75.683333,5.916667,0.07757088
-73.883333,5.0,0.4572658
-73.6,4.816667,0.4572658
-69.70417,11.18,0.2140905
-73.416667,4.583333,0.22839883
-74.0,4.75,0.45843443
-78.014167,-0.421389,0.6123301
-71.7333,8.15,0.119480945
-74.0,4.366667,0.64599967
-78.416667,0.466667,0.25037476
-76.6,2.583333,0.32858574
-76.083333,6.416667,0.13517271
-76.433333,2.166667,0.4387148
-73.42,5.916667,0.31568
-75.466667,6.833333,0.14934233
-78.4,-0.3,0.36452362
-75.441,5.043,0.17578404
-75.757528,4.157528,0.5797862
-74.104028,4.673333,0.64599967
-75.495678,5.054595,0.17578404
-79.86672,-4.31663,0.08625059
-72.933333,10.533333,0.015204253
-73.966667,4.716667,0.45843443
-76.916667,2.583333,0.045013662
-74.3,4.7,0.45843443
-74.166667,4.916667,0.45843443
-75.883333,2.383333,0.05600206
-75.5,4.583333,0.43237644
-75.333333,6.283333,0.06226653
-73.1,7.8,0.3018984
-77.068444,1.74325,0.052540306
-76.889,1.799,0.4387148
-73.5,10.916667,0.34254602
-73.616667,10.933333,0.34254602
-73.5,10.916667,0.34254602
-74.083333,4.75,0.45843443
-75.533333,5.083333,0.17578404
