LONGDECDEG,LATDECDEG,Colibri.coruscans_AllData_Full logistic values
-69.6833,11.16667,0.0
-70.51667,8.83333,0.5179713
-78.0575,-0.434722,0.46742344
-68.98333,10.53333,0.0
-76.95,1.833333,0.5179713
-72.05,7.4167,0.5179713
-69.26667,9.91667,0.20981029
-69.26667,9.88333,0.20981029
-69.26667,9.88333,0.20981029
-79.15,-4.1,0.5179713
-70.48333,8.86667,0.5179713
-73.9333,4.4833,0.5179713
-76.333333,1.833333,0.30784652
-77.383333,-0.133333,0.39944062
-74.083333,4.483333,0.5179713
-72.3611233333333,7.55,0.5179713
-73.966667,4.55,0.5179713
-78.716667,-0.55,0.46742344
-77.645853,0.680287,0.30784652
-72.666667,5.416667,0.5179713
-69.66667,11.16667,0.0
-75.433333,4.3,0.5179713
-77.166667,0.666667,0.30784652
-75.112032,6.98266,0.6164072
-79.07512,-2.72165,0.5179713
-76.744722,1.069722,0.4090448
-73.084194,7.344611,0.5179713
-73.096028,7.272611,0.5179713
-76.2,2.266667,0.5179713
-77.966667,0.866667,0.5179713
-69.70417,11.18,0.0
-73.416667,4.583333,0.6164072
-78.421389,0.35,0.5179713
-72.933333,10.533333,0.5179713
-75.333333,5.083333,0.5179713
-75.883333,2.383333,0.5179713
-78.216667,-2.066667,0.30784652
-79.4,-4.783333,0.5179713
-78.26667,0.116667,0.46742344
-76.276097,1.600061,0.30784652
-78.75,-4.36667,0.30784652
-72.283333,6.133333,0.5179713
-78.15,-2.1,0.30784652
-69.60417,9.6975,0.20981029
-74.166667,5.133333,0.5179713
-79.15,-4.65,0.5179713
-78.2,-0.333333,0.46742344
-78.908333,-3.283333,0.5179713
-78.366667,-0.666667,0.46742344
-72.81667,10.03333,0.049550116
-72.7833,10.0333,0.049550116
-72.59103,10.32648,6.441843E-4
-76.383333,2.35,0.5179713
-70.61667,10.31667,0.73504484
-73.916667,3.1,0.20981029
-78.884,-1.434,0.2862545
-77.983333,1.216667,0.2773262
-77.275833,0.515367,0.30784652
-74.066667,4.566667,0.5179713
-76.483333,2.333333,0.5179713
-76.170278,2.240278,0.5179713
-73.266667,4.85,0.6164072
-72.05,8.13333,0.5179713
-73.95,4.916667,0.5179713
-73.166667,5.25,0.5179713
-79.09183,-2.94754,0.5179713
-69.2667,9.9333,0.20981029
-78.64964,-3.00277,0.30784652
-79.116667,-4.383333,0.5179713
-73.054278,7.142556,0.5179713
-76.519722,1.238333,0.30784652
-78.587981,-0.146287,0.46742344
-71.7667,8.3667,0.5179713
-71.7667,8.3667,0.5179713
-79.133333,-4.866667,0.0
