LONGDECDEG,LATDECDEG,Colibri.coruscans_AllData_RUN1 logistic values
-69.6833,11.16667,0.036835536
-70.51667,8.83333,0.53366697
-68.98333,10.53333,0.036835536
-76.95,1.833333,0.53366697
-72.05,7.4167,0.53366697
-69.26667,9.91667,0.17899859
-69.26667,9.88333,0.17899859
-69.26667,9.88333,0.17899859
-70.48333,8.86667,0.53366697
-73.9333,4.4833,0.53366697
-76.333333,1.833333,0.3513208
-77.383333,-0.133333,0.3513208
-74.083333,4.483333,0.53366697
-72.3611233333333,7.55,0.53366697
-73.966667,4.55,0.53366697
-78.716667,-0.55,0.53366697
-75.433333,4.3,0.53366697
-77.166667,0.666667,0.3513208
-75.112032,6.98266,0.53366697
-79.07512,-2.72165,0.53366697
-76.744722,1.069722,0.09353154
-73.084194,7.344611,0.53366697
-77.966667,0.866667,0.53366697
-69.70417,11.18,0.036835536
-73.416667,4.583333,0.53366697
-78.421389,0.35,0.53366697
-72.933333,10.533333,0.53366697
-78.216667,-2.066667,0.3513208
-76.276097,1.600061,0.3513208
-78.75,-4.36667,0.3513208
-78.15,-2.1,0.3513208
-69.60417,9.6975,0.17899859
-74.166667,5.133333,0.53366697
-79.15,-4.65,0.53366697
-78.2,-0.333333,0.53366697
-78.366667,-0.666667,0.53366697
-72.81667,10.03333,0.17899859
-72.7833,10.0333,0.17899859
-72.59103,10.32648,0.17899859
-76.383333,2.35,0.53366697
-73.916667,3.1,0.17899859
-78.884,-1.434,0.3513208
-77.983333,1.216667,0.7157971
-77.275833,0.515367,0.3513208
-74.066667,4.566667,0.53366697
-76.483333,2.333333,0.53366697
-76.170278,2.240278,0.53366697
-73.266667,4.85,0.53366697
-73.95,4.916667,0.53366697
-73.166667,5.25,0.53366697
-79.09183,-2.94754,0.53366697
-69.2667,9.9333,0.17899859
-78.64964,-3.00277,0.3513208
-79.116667,-4.383333,0.53366697
-73.054278,7.142556,0.53366697
-76.519722,1.238333,0.3513208
-78.587981,-0.146287,0.53366697
-71.7667,8.3667,0.53366697
-71.7667,8.3667,0.53366697
-79.133333,-4.866667,0.1666998
