X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-79.36314,-4.56371,train,0.007469556826530803,7.061299367200146,0.27225816904608846
-75.716667,6.116667,train,0.17145057842831132,100.0,0.8956934246655279
-74.466667,4.766667,train,1.1652053149408809E-5,0.001353409274167473,5.832541314925484E-4
-71.18333,8.26667,train,0.031457623890013664,75.44838486090667,0.6117347672486221
-74.009722,4.766111,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-75.383333,6.25,train,0.08752221876908534,100.0,0.8142493448927687
-71.83333,8.06667,train,0.35335619449910727,100.0,0.9465180252004346
-74.083333,4.6,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-76.951217,1.8401,train,0.006221930133313042,4.251687597706085,0.2375876231439753
-78.96675,-4.13329,train,0.025847938091600648,67.28220437490337,0.5641936555011864
-75.6,6.283333,train,0.23415212428294455,100.0,0.9214302087371412
-76.528622,2.497128,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-74.016667,4.666667,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-75.505213,5.071837,train,0.27403921919060364,100.0,0.9320896134826667
-78.8523,-2.97591,train,0.00844054774373822,10.214181498175547,0.29713378923201234
-78.966667,-1.75,train,4.935070286950564E84,100.0,1.0
-78.116667,0.816667,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-79.083334,-2.93,train,0.01008594994721843,15.783827134628478,0.3356170583927695
-72.3833,7.65,train,0.017071839200423797,32.275429559239456,0.4609295676152943
-72.966667,8.016667,train,0.043568360074739784,95.12096023470792,0.6857447542380247
-75.6,4.05,train,872.4472941296073,100.0,0.9999771154637271
-69.26667,9.9,train,0.012960352935130683,19.104342204207555,0.3936163094447252
-73.216667,6.116667,train,0.09650599576885698,100.0,0.8285767574860828
-75.633333,6.083333,train,0.17145057842831132,100.0,0.8956934246655279
-70.43333,8.9,train,0.021465578833642786,43.85366057813492,0.5180969432110182
-70.4,8.9,train,21588.02220997231,100.0,0.9999990751357396
-79.083333,-0.666667,train,1.4572603857722603E85,100.0,1.0
-77.533333,-0.05,train,0.009878369117164202,13.781778340378047,0.3309959815683423
-72.683333,6.333333,train,0.09650599576885698,100.0,0.8285767574860828
-79.80005,-3.94996,train,4.098701770095943E84,100.0,1.0
-70.116685,9.55,train,0.041935965805409134,94.5161087768768,0.6774576443888437
-75.26675,5.2664,train,0.015464676195907247,26.800491836188925,0.43647691988232445
-77.863555,0.440887,train,0.021881058791032533,48.18793572841287,0.5228815332358153
-76.95,2.666667,train,0.1675515249714581,100.0,0.8935245772769614
-74.066667,4.866667,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-78.566667,-4.0,train,0.5112323227105282,100.0,0.9624132692397872
-73.933333,4.533333,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-73.683333,5.15,train,13.603006130679262,100.0,0.9985343867360708
-78.916667,-0.8,train,1.4572603857722603E85,100.0,1.0
-76.466667,2.333333,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-77.533333,0.916667,train,0.029907418075246134,74.36687074034745,0.5996663961567456
-72.35,7.45,train,0.017071839200423797,32.275429559239456,0.4609295676152943
-77.8,-0.68333,train,0.04828850455238212,96.86914344003101,0.707477092408896
-73.2,6.083333,train,0.09650599576885698,100.0,0.8285767574860828
-78.86888,-2.68712,train,0.01180740993573556,18.568673761238617,0.3716128278605101
-69.56667,9.775,train,8.58497517279844E-4,0.4843322988252652,0.041225348150262894
-71.733333,8.333333,train,0.007033322045299188,6.3143526210810785,0.26049986652125373
-78.98122,-2.88049,train,0.01008594994721843,15.783827134628478,0.3356170583927695
-71.0833,8.75,train,0.02399611159871955,62.63321154302736,0.5458360847168264
-71.06667,8.75,train,0.02399611159871955,62.63321154302736,0.5458360847168264
-77.783333,0.9,train,0.029907418075246134,74.36687074034745,0.5996663961567456
-74.0,5.0,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-79.414308,-3.943806,train,4.098701770095943E84,100.0,1.0
-75.48,5.077,train,0.27403921919060364,100.0,0.9320896134826667
-76.131411,2.561464,train,0.01616733125820005,30.568154888508314,0.4474352853653617
-76.057,2.584,train,0.01616733125820005,30.568154888508314,0.4474352853653617
-79.16564,-3.13063,train,0.01008594994721843,15.783827134628478,0.3356170583927695
-77.166667,1.166667,train,0.018921386461731516,37.02561412996966,0.48656862723109273
-77.816667,1.116667,train,0.029907418075246134,74.36687074034745,0.5996663961567456
-73.55,10.616667,train,5.8896489560853385E84,100.0,1.0
-76.079033,6.41547,train,0.23415212428294455,100.0,0.9214302087371412
-76.816667,2.416667,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-76.666667,2.333333,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-72.993028,10.361611,train,0.02036540457765199,41.70715292228065,0.5049514247582433
-73.883333,4.55,train,0.019445831936430524,37.726159649857465,0.4934007557470825
-76.603297,3.563297,train,0.17145057842831132,100.0,0.8956934246655279
-73.85,4.533333,train,0.019445831936430524,37.726159649857465,0.4934007557470825
-74.15,4.666667,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-75.683333,5.916667,train,0.17145057842831132,100.0,0.8956934246655279
-74.366667,4.35,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-76.3,2.483333,train,0.01616733125820005,30.568154888508314,0.4474352853653617
-73.883333,5.0,train,13.603006130679262,100.0,0.9985343867360708
-73.6,4.816667,train,13.603006130679262,100.0,0.9985343867360708
-74.0,4.75,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-77.7,0.583333,train,0.021881058791032533,48.18793572841287,0.5228815332358153
-78.014167,-0.421389,train,0.001137835866358223,0.7056827001367154,0.05391604666406408
-71.7333,8.15,train,0.35335619449910727,100.0,0.9465180252004346
-73.866667,4.916667,train,13.603006130679262,100.0,0.9985343867360708
-74.0,4.366667,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-78.416667,0.466667,train,0.0335819977221684,86.04149602558411,0.6271381511670041
-72.966667,7.783333,train,0.043568360074739784,95.12096023470792,0.6857447542380247
-76.6,2.583333,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-76.083333,6.416667,train,0.23415212428294455,100.0,0.9214302087371412
-76.433333,2.166667,train,0.09175025972458743,100.0,0.8212793091822143
-76.15,6.65,train,0.23415212428294455,100.0,0.9214302087371412
-73.42,5.916667,train,0.0335819977221684,86.04149602558411,0.6271381511670041
-75.466667,6.833333,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-70.516667,8.816667,train,0.021465578833642786,43.85366057813492,0.5180969432110182
-78.4,-0.3,train,0.01798974454694506,35.78149768607798,0.47396621134409306
-75.441,5.043,train,0.27403921919060364,100.0,0.9320896134826667
-75.757528,4.157528,train,872.4472941296073,100.0,0.9999771154637271
-74.104028,4.673333,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-75.495678,5.054595,train,0.27403921919060364,100.0,0.9320896134826667
-79.86672,-4.31663,train,4.098701770095943E84,100.0,1.0
-79.8575,-4.321111,train,3.613452161255023E84,100.0,1.0
-73.966667,4.716667,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-76.916667,2.583333,train,0.1675515249714581,100.0,0.8935245772769614
-74.3,4.7,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-74.166667,4.916667,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-74.133333,5.0,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-75.5,4.583333,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-75.333333,6.283333,train,0.08752221876908534,100.0,0.8142493448927687
-73.1,7.8,train,0.043568360074739784,95.12096023470792,0.6857447542380247
-77.77429,0.497404,train,0.021881058791032533,48.18793572841287,0.5228815332358153
-75.793603,5.535228,train,0.12231170948894042,100.0,0.85966875965471
-77.068444,1.74325,train,0.006221930133313042,4.251687597706085,0.2375876231439753
-76.889,1.799,train,0.09175025972458743,100.0,0.8212793091822143
-73.5,10.916667,train,52.60621823694611,100.0,0.9996206069478955
-73.616667,10.933333,train,52.60621823694611,100.0,0.9996206069478955
-74.083333,4.75,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-75.533333,5.083333,train,0.27403921919060364,100.0,0.9320896134826667
-77.073367,1.53985,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-75.2667,5.2833,train,0.015464676195907247,26.800491836188925,0.43647691988232445
-78.066667,0.883333,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-76.945017,1.773383,train,0.006221930133313042,4.251687597706085,0.2375876231439753
-79.116667,-2.866667,train,0.01008594994721843,15.783827134628478,0.3356170583927695
-78.7,-2.36,train,0.01180740993573556,18.568673761238617,0.3716128278605101
-75.583333,6.25,train,0.23415212428294455,100.0,0.9214302087371412
-78.766667,-0.016667,train,0.022915177001822346,52.68548238437422,0.534387672526323
-78.743134,-0.035019,train,0.022915177001822346,52.68548238437422,0.534387672526323
-73.2,5.2,train,0.014040456566078387,25.717822757963635,0.41287609494527683
-70.3,9.35,train,0.041935965805409134,94.5161087768768,0.6774576443888437
-75.856336,5.598278,train,0.12231170948894042,100.0,0.85966875965471
-74.05,4.6,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-73.8,4.283333,train,0.019445831936430524,37.726159649857465,0.4934007557470825
-76.083333,2.333333,train,0.01616733125820005,30.568154888508314,0.4474352853653617
-70.808333,8.791667,train,0.021465578833642786,43.85366057813492,0.5180969432110182
-70.88333,8.55,train,1.3566353427907376E-79,1.3566353427907376E-77,6.794724803474832E-78
-70.9,8.75,train,0.021465578833642786,43.85366057813492,0.5180969432110182
-76.95,2.533333,train,0.1675515249714581,100.0,0.8935245772769614
-72.75,7.3,train,0.014040456566078387,25.717822757963635,0.41287609494527683
-78.4333,-0.1667,train,0.022915177001822346,52.68548238437422,0.534387672526323
-71.866685,8.25,train,0.007033322045299188,6.3143526210810785,0.26049986652125373
-70.16667,9.53333,train,0.041935965805409134,94.5161087768768,0.6774576443888437
-79.13341,-3.56664,train,0.022597557174860408,51.83770688930106,0.5309131584911995
