Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.67243E-10,0.000000017,0.000000005,0.85,0.063492063,0
1.19244E-9,0.000000119,0.000000035,0.85,0.068783069,0
6.09594E-7,0.000061079,0.000017845,0.833333333,0.068783069,0
1.12535E-6,0.000173613,0.000032943,0.816666667,0.068783069,0
1.69373E-6,0.000342986,0.00004958,0.8,0.068783069,0
4.63242E-6,0.000806228,0.000135593,0.783333333,0.074074074,0
1.11216E-5,0.001918384,0.000325471,0.766666667,0.074074074,0
9.56659E-5,0.011484969,0.002792741,0.75,0.074074074,0
7.45093E-4,0.085994234,0.021346542,0.733333333,0.08994709,0
1.17569E-3,0.278072518,0.033272489,0.7,0.08994709,0
1.22136E-3,0.400208321,0.034520292,0.683333333,0.08994709,0
1.39057E-3,0.661400824,0.03911572,0.65,0.08994709,0
2.02692E-3,1.142206387,0.056013299,0.6,0.08994709,0
3.40196E-3,1.354457228,0.090570566,0.583333333,0.08994709,0
5.75566E-3,1.71777236,0.144197287,0.583333333,0.095238095,0
5.77607E-3,2.295379337,0.144634665,0.566666667,0.105820106,0
6.02532E-3,2.897911219,0.149940125,0.55,0.116402116,0
7.32502E-3,3.630413529,0.176572372,0.533333333,0.116402116,0
8.87191E-3,5.250099202,0.206172823,0.5,0.132275132,0
1.40123E-2,8.425727262,0.29088224,0.45,0.137566138,0
1.76842E-2,10.19414741,0.341105983,0.433333333,0.148148148,0
1.8508E-2,13.813368113,0.351412138,0.4,0.153439153,0
1.89557E-2,15.708936772,0.356878755,0.383333333,0.158730159,0
2.00343E-2,23.399073718,0.369678838,0.316666667,0.216931217,0
2.56622E-2,27.968729116,0.428978437,0.283333333,0.253968254,0
2.66243E-2,30.63116318,0.438016656,0.266666667,0.264550265,0
2.83965E-2,36.133250649,0.453937469,0.233333333,0.291005291,0
2.91037E-2,39.043620315,0.460041412,0.216666667,0.291005291,0
3.72101E-2,42.764626065,0.521371459,0.2,0.365079365,0
3.77289E-2,46.537514195,0.524825756,0.183333333,0.365079365,0
4.01963E-2,61.87580859,0.540593909,0.116666667,0.497354497,0
4.61768E-2,66.493487123,0.574793535,0.1,0.513227513,0
5.01746E-2,71.510945645,0.594950154,0.083333333,0.518518519,0
5.31136E-2,76.822310223,0.608590843,0.066666667,0.523809524,0
7.52873E-2,84.351041221,0.6878894,0.05,0.523809524,0
8.12023E-2,100,0.703892308,0.016666667,0.53968254,0
8.12023E-2,100,0.703892308,0.016666667,0.544973545,0
2.28127E-1,100,0.86976242,0,0.544973545,0
1E0,100,0.966968815,0,0.560846561,0
