Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.20249E-5,0.00220249,0.002202301,1,0,0
3.10829E-5,0.007513271,0.003105211,0.991666667,0,0
3.48965E-5,0.011002922,0.003484866,0.9875,0,0
4.45359E-5,0.034983623,0.004443208,0.9625,0,0
9.1698E-5,0.052570679,0.009105573,0.954166667,0,0
1.15965E-4,0.103866158,0.011487637,0.933333333,0,0
2.62038E-4,0.218524289,0.025587419,0.904166667,0,0
2.97393E-4,0.387415199,0.028939936,0.879166667,0,0
3.58333E-4,0.482727134,0.034664479,0.866666667,0,0
3.64485E-4,0.698341878,0.035238662,0.841666667,0,0
3.78446E-4,0.736186525,0.036539169,0.8375,0,0
3.85831E-4,0.774769583,0.037225569,0.833333333,0,0
3.97967E-4,0.891732422,0.038351623,0.820833333,0,0
4.24051E-4,0.934137481,0.040762784,0.816666667,0,0
4.62935E-4,1.11786487,0.04433493,0.8,0,0
5.29548E-4,1.273196852,0.050392879,0.7875,0,0
5.36496E-4,1.379801241,0.051020382,0.779166667,0,0
5.98885E-4,1.546988976,0.056617578,0.766666667,0,0
6.14931E-4,1.788147596,0.058046539,0.75,0,0
6.30049E-4,2.349530157,0.05938877,0.7125,0,0
7.0978E-4,2.555873694,0.066405227,0.7,0,0
8.86651E-4,2.786494776,0.081602514,0.6875,0,0
9.43648E-4,3.344986247,0.086395018,0.6625,0,0
1.03754E-3,3.641761573,0.094182022,0.65,0,0
1.09722E-3,3.964735651,0.099062305,0.6375,0,0
1.09866E-3,4.074601718,0.099179515,0.633333333,0,0
1.10921E-3,4.295389192,0.100036898,0.625,0,0
1.26836E-3,5.103894671,0.112771146,0.595833333,0,0
1.59501E-3,5.64390304,0.137811345,0.579166667,0,0
1.77067E-3,5.980470613,0.150701592,0.570833333,0,0
1.77767E-3,6.689438748,0.151207662,0.554166667,0,0
1.81751E-3,7.937794479,0.154074087,0.525,0,0
1.8251E-3,8.120304412,0.154617878,0.520833333,0,0
1.88287E-3,8.85611728,0.158735432,0.504166667,0,0
1.92205E-3,9.04832657,0.161504706,0.5,0.071428571,0
2.1982E-3,9.460351781,0.180520355,0.491666667,0.071428571,0
2.43545E-3,10.143537084,0.196181015,0.479166667,0.071428571,0
2.43545E-3,10.387082657,0.196181092,0.470833333,0.071428571,0
2.79138E-3,10.666219468,0.21858504,0.470833333,0.142857143,0
2.96354E-3,14.870501828,0.22897955,0.408333333,0.142857143,0
3.16688E-3,18.150729242,0.240906081,0.3625,0.142857143,0
3.34032E-3,18.801450063,0.250790937,0.354166667,0.142857143,0
3.36807E-3,19.138257454,0.252348605,0.35,0.142857143,0
3.50405E-3,19.488662527,0.259888775,0.345833333,0.142857143,0
3.5538E-3,19.844043008,0.262609867,0.341666667,0.142857143,0
3.72387E-3,20.216429773,0.27176154,0.3375,0.142857143,0
4.01426E-3,20.617855316,0.286874109,0.333333333,0.142857143,0
4.02733E-3,21.823439192,0.287539696,0.320833333,0.142857143,0
4.12604E-3,28.277035436,0.292526004,0.254166667,0.142857143,0
4.20411E-3,29.110050675,0.296420018,0.245833333,0.142857143,0
4.24889E-3,31.216583264,0.298634633,0.225,0.142857143,0
4.27161E-3,32.493522624,0.299752704,0.2125,0.142857143,0
4.29771E-3,33.777603397,0.301032866,0.2,0.142857143,0
4.35042E-3,34.212657561,0.303604104,0.195833333,0.214285714,0
4.61635E-3,35.632222095,0.316292858,0.179166667,0.214285714,0
5.66743E-3,36.084526392,0.362222351,0.179166667,0.285714286,0
6.60975E-3,40.712699368,0.398451802,0.145833333,0.285714286,0
6.79779E-3,43.375404102,0.405194086,0.129166667,0.285714286,0
7.06782E-3,44.082186061,0.414616219,0.125,0.285714286,0
7.72351E-3,44.854536362,0.436298614,0.120833333,0.285714286,0
8.24367E-3,47.223605922,0.452389622,0.108333333,0.5,0
9.372E-3,48.16080595,0.484320186,0.104166667,0.5,0
1.146E-2,49.30680346,0.534543424,0.1,0.5,0
1.2391E-2,60.859885411,0.553916437,0.058333333,0.5,0
1.27644E-2,63.37543404,0.561240236,0.05,0.5,0
1.27644E-2,65.928323161,0.561240253,0.0375,0.5,0
1.51567E-2,67.443987805,0.602998142,0.0375,0.571428571,0
2.54261E-2,71.502262496,0.718151249,0.029166667,0.571428571,0
5.30845E-2,81.895932364,0.841764934,0.016666667,0.571428571,0
6.11225E-2,93.316634638,0.859653404,0.008333333,0.785714286,0
6.68335E-2,100,0.87008819,0.004166667,1,0
