"","Species","Locality","Suitability","LongDecDeg","LatDecDeg","P_R","P_A","Hyp","Clade","Genus","Phylo.Relatedness","Iteration","I"
"1","Adelomyia.melanogenys",10172,332,-76.6,3.6166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"2","Adelomyia.melanogenys",10201,16,-73.7,3.6166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790837167,NA,NA
"3","Adelomyia.melanogenys",10293,374,-76.7,3.5166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"4","Adelomyia.melanogenys",10294,350,-76.6,3.5166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.692466278782981,NA,NA
"5","Adelomyia.melanogenys",10298,184,-76.2,3.5166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"6","Adelomyia.melanogenys",10538,189,-76.6,3.3166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790837167,NA,NA
"7","Adelomyia.melanogenys",11270,383,-76.6,2.7166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"8","Adelomyia.melanogenys",11294,16,-74.2,2.7166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.634979720961305,NA,NA
"9","Adelomyia.melanogenys",11389,466,-76.9,2.6166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"10","Adelomyia.melanogenys",11397,335,-76.1,2.6166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"11","Adelomyia.melanogenys",11515,452,-76.5,2.5166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"12","Adelomyia.melanogenys",11519,430,-76.1,2.5166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"13","Adelomyia.melanogenys",11751,537,-77.3,2.3166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"14","Adelomyia.melanogenys",11770,285,-75.4,2.3166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"15","Adelomyia.melanogenys",12119,18,-77.1,2.0166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790834933,NA,NA
"16","Adelomyia.melanogenys",12241,21,-77.1,1.9166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790834933,NA,NA
"17","Adelomyia.melanogenys",12363,106,-77.1,1.8166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790834933,NA,NA
"18","Adelomyia.melanogenys",12364,332,-77,1.8166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"19","Adelomyia.melanogenys",12365,495,-76.9,1.8166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"20","Adelomyia.melanogenys",12485,247,-77.1,1.7166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"21","Adelomyia.melanogenys",12615,501,-76.3,1.6166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"22","Adelomyia.melanogenys",12616,406,-76.2,1.6166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"23","Adelomyia.melanogenys",12729,443,-77.1,1.5166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"24","Adelomyia.melanogenys",13092,233,-77.4,1.2166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"25","Adelomyia.melanogenys",13095,161,-77.1,1.2166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098664846,NA,NA
"26","Adelomyia.melanogenys",13101,329,-76.5,1.2166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"27","Adelomyia.melanogenys",13203,24,-78.5,1.1166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627875171,NA,NA
"28","Adelomyia.melanogenys",13221,195,-76.7,1.1166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"29","Adelomyia.melanogenys",13224,81,-76.4,1.1166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627874501,NA,NA
"30","Adelomyia.melanogenys",13225,16,-76.3,1.1166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627877628,NA,NA
"31","Adelomyia.melanogenys",13452,258,-78,0.9166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098640277,NA,NA
"32","Adelomyia.melanogenys",13460,187,-77.2,0.9166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"33","Adelomyia.melanogenys",13575,94,-77.9,0.8166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098658146,NA,NA
"34","Adelomyia.melanogenys",13697,96,-77.9,0.716666666666701,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098655912,NA,NA
"35","Adelomyia.melanogenys",13700,189,-77.6,0.716666666666701,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"36","Adelomyia.melanogenys",13821,163,-77.7,0.616666666666699,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"37","Adelomyia.melanogenys",13936,130,-78.4,0.516666666666699,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098673781,NA,NA
"38","Adelomyia.melanogenys",13942,192,-77.8,0.516666666666699,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"39","Adelomyia.melanogenys",13947,458,-77.3,0.516666666666699,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.541329678898691,NA,NA
"40","Adelomyia.melanogenys",14063,353,-77.9,0.4166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"41","Adelomyia.melanogenys",14178,457,-78.6,0.3166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.69246627875171,NA,NA
"42","Adelomyia.melanogenys",14180,146,-78.4,0.3166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"43","Adelomyia.melanogenys",14357,14,-72.9,0.216666666666701,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627877628,NA,NA
"44","Adelomyia.melanogenys",14425,131,-78.3,0.116666666666699,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"45","Adelomyia.melanogenys",14666,274,-78.6,-0.0833333333333002,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"46","Adelomyia.melanogenys",14678,146,-77.4,-0.0833333333333002,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627874501,NA,NA
"47","Adelomyia.melanogenys",14772,34,-80.2,-0.1833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790846101,NA,NA
"48","Adelomyia.melanogenys",14786,489,-78.8,-0.1833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"49","Adelomyia.melanogenys",14788,86,-78.6,-0.1833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"50","Adelomyia.melanogenys",14789,235,-78.5,-0.1833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"51","Adelomyia.melanogenys",14790,363,-78.4,-0.1833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098673781,NA,NA
"52","Adelomyia.melanogenys",14794,111,-78,-0.1833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098640277,NA,NA
"53","Adelomyia.melanogenys",14795,151,-77.9,-0.1833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"54","Adelomyia.melanogenys",14799,378,-77.5,-0.1833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627877628,NA,NA
"55","Adelomyia.melanogenys",14907,428,-78.9,-0.283333333333299,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.7305897908394,NA,NA
"56","Adelomyia.melanogenys",14911,316,-78.5,-0.283333333333299,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"57","Adelomyia.melanogenys",14912,353,-78.4,-0.283333333333299,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"58","Adelomyia.melanogenys",14914,99,-78.2,-0.283333333333299,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098640277,NA,NA
"59","Adelomyia.melanogenys",15014,48,-80.4,-0.383333333333301,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790846101,NA,NA
"60","Adelomyia.melanogenys",15028,479,-79,-0.383333333333301,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"61","Adelomyia.melanogenys",15037,114,-78.1,-0.383333333333301,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"62","Adelomyia.melanogenys",15038,178,-78,-0.383333333333301,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"63","Adelomyia.melanogenys",15057,20,-76.1,-0.383333333333301,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.634979720981407,NA,NA
"64","Adelomyia.melanogenys",15155,152,-78.5,-0.483333333333301,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"65","Adelomyia.melanogenys",15159,82,-78.1,-0.483333333333301,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"66","Adelomyia.melanogenys",15237,24,-70.3,-0.483333333333301,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.634979720981407,NA,NA
"67","Adelomyia.melanogenys",15258,44,-80.4,-0.5833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.634979720965772,NA,NA
"68","Adelomyia.melanogenys",15275,96,-78.7,-0.5833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"69","Adelomyia.melanogenys",15301,20,-76.1,-0.5833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627877628,NA,NA
"70","Adelomyia.melanogenys",15338,15,-72.4,-0.5833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790837167,NA,NA
"71","Adelomyia.melanogenys",15393,445,-79.1,-0.6833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"72","Adelomyia.melanogenys",15400,49,-78.4,-0.6833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"73","Adelomyia.melanogenys",15405,493,-77.9,-0.6833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"74","Adelomyia.melanogenys",15406,327,-77.8,-0.6833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"75","Adelomyia.melanogenys",15420,25,-76.4,-0.6833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627877628,NA,NA
"76","Adelomyia.melanogenys",15517,156,-78.9,-0.783333333333299,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"77","Adelomyia.melanogenys",15528,168,-77.8,-0.783333333333299,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627874501,NA,NA
"78","Adelomyia.melanogenys",15755,29,-79.5,-0.983333333333301,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790846101,NA,NA
"79","Adelomyia.melanogenys",15767,84,-78.3,-0.983333333333301,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098640277,NA,NA
"80","Adelomyia.melanogenys",15768,258,-78.2,-0.983333333333301,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"81","Adelomyia.melanogenys",16109,44,-80.7,-1.2833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790840741,NA,NA
"82","Adelomyia.melanogenys",16132,162,-78.4,-1.2833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"83","Adelomyia.melanogenys",16255,463,-78.3,-1.3833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"84","Adelomyia.melanogenys",16364,32,-79.6,-1.4833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.634979720965772,NA,NA
"85","Adelomyia.melanogenys",16371,61,-78.9,-1.4833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"86","Adelomyia.melanogenys",16378,414,-78.2,-1.4833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"87","Adelomyia.melanogenys",16380,193,-78,-1.4833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790837167,NA,NA
"88","Adelomyia.melanogenys",16383,87,-77.7,-1.4833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627874501,NA,NA
"89","Adelomyia.melanogenys",16505,73,-77.7,-1.5833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627874501,NA,NA
"90","Adelomyia.melanogenys",16599,287,-80.5,-1.6833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.730589790846101,NA,NA
"91","Adelomyia.melanogenys",16736,270,-79,-1.7833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"92","Adelomyia.melanogenys",17110,474,-78.2,-2.0833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"93","Adelomyia.melanogenys",17229,88,-78.5,-2.1833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098655912,NA,NA
"94","Adelomyia.melanogenys",17230,320,-78.4,-2.1833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"95","Adelomyia.melanogenys",17471,78,-78.7,-2.3833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"96","Adelomyia.melanogenys",17495,21,-76.3,-2.3833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627877628,NA,NA
"97","Adelomyia.melanogenys",17833,57,-79.1,-2.6833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098655912,NA,NA
"98","Adelomyia.melanogenys",17835,207,-78.9,-2.6833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"99","Adelomyia.melanogenys",17951,517,-79.5,-2.7833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.692466278780747,NA,NA
"100","Adelomyia.melanogenys",18074,292,-79.4,-2.8833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"101","Adelomyia.melanogenys",18075,56,-79.3,-2.8833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"102","Adelomyia.melanogenys",18077,141,-79.1,-2.8833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098653679,NA,NA
"103","Adelomyia.melanogenys",18078,283,-79,-2.8833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098673781,NA,NA
"104","Adelomyia.melanogenys",18199,184,-79.1,-2.9833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"105","Adelomyia.melanogenys",18201,236,-78.9,-2.9833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"106","Adelomyia.melanogenys",18320,91,-79.2,-3.0833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"107","Adelomyia.melanogenys",18325,156,-78.7,-3.0833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"108","Adelomyia.melanogenys",18563,414,-79.3,-3.2833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.692466278756178,NA,NA
"109","Adelomyia.melanogenys",18567,190,-78.9,-3.2833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098655912,NA,NA
"110","Adelomyia.melanogenys",18806,309,-79.4,-3.4833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"111","Adelomyia.melanogenys",19051,182,-79.3,-3.6833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"112","Adelomyia.melanogenys",19052,206,-79.2,-3.6833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098655912,NA,NA
"113","Adelomyia.melanogenys",19263,17,-70.3,-3.7833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627877628,NA,NA
"114","Adelomyia.melanogenys",19409,238,-80.1,-3.9833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"115","Adelomyia.melanogenys",19410,250,-80,-3.9833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"116","Adelomyia.melanogenys",19411,564,-79.9,-3.9833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"117","Adelomyia.melanogenys",19412,592,-79.8,-3.9833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098673781,NA,NA
"118","Adelomyia.melanogenys",19416,259,-79.4,-3.9833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"119","Adelomyia.melanogenys",19417,351,-79.3,-3.9833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790840741,NA,NA
"120","Adelomyia.melanogenys",19424,433,-78.6,-3.9833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"121","Adelomyia.melanogenys",19540,314,-79.2,-4.0833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098655912,NA,NA
"122","Adelomyia.melanogenys",19542,490,-79,-4.0833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"123","Adelomyia.melanogenys",19633,17,-69.9,-4.0833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790837167,NA,NA
"124","Adelomyia.melanogenys",19655,256,-79.9,-4.1833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790834933,NA,NA
"125","Adelomyia.melanogenys",19755,17,-69.9,-4.1833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790846101,NA,NA
"126","Adelomyia.melanogenys",19777,478,-79.9,-4.2833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098673781,NA,NA
"127","Adelomyia.melanogenys",19778,514,-79.8,-4.2833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790846101,NA,NA
"128","Adelomyia.melanogenys",19790,260,-78.6,-4.2833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.69246627874501,NA,NA
"129","Adelomyia.melanogenys",19899,176,-79.9,-4.3833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790840741,NA,NA
"130","Adelomyia.melanogenys",19900,286,-79.8,-4.3833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098673781,NA,NA
"131","Adelomyia.melanogenys",19901,576,-79.7,-4.3833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098673781,NA,NA
"132","Adelomyia.melanogenys",19907,310,-79.1,-4.3833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098640277,NA,NA
"133","Adelomyia.melanogenys",20148,482,-79.4,-4.5833333333333,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098655912,NA,NA
"134","Adelomyia.melanogenys",20392,164,-79.4,-4.7833333333333,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098655912,NA,NA
"135","Adelomyia.melanogenys",4592,280,-73.4,8.2166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790843868,NA,NA
"136","Adelomyia.melanogenys",5573,103,-72.9,7.4166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"137","Adelomyia.melanogenys",5693,393,-73.1,7.3166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.69246627877628,NA,NA
"138","Adelomyia.melanogenys",5937,161,-73.1,7.1166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"139","Adelomyia.melanogenys",5939,86,-72.9,7.1166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"140","Adelomyia.melanogenys",6039,160,-75.1,7.0166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.69246627875171,NA,NA
"141","Adelomyia.melanogenys",6060,460,-73,7.0166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
"142","Adelomyia.melanogenys",6202,16,-71,6.9166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790837167,NA,NA
"143","Adelomyia.melanogenys",6300,410,-73.4,6.8166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"144","Adelomyia.melanogenys",6381,12,-77.5,6.7166666666667,"PA_Binary",0,"Env","Coquettes","Adelomyia",0.730589790834933,NA,NA
"145","Adelomyia.melanogenys",6543,248,-73.5,6.6166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.384015340715478,NA,NA
"146","Adelomyia.melanogenys",6544,323,-73.4,6.6166666666667,"PA_Binary",1,"Env","Coquettes","Adelomyia",0.444975098662613,NA,NA
